whonet_code,organism_name,snomed_code,kingdom,genus,species
ACIGUI,Acinetobacter,446157004,Bacteria,Acinetobacter,
ACIGUI,Acinetobacter,719032005,Bacteria,Acinetobacter,
ACISPP,Acinetobacter,719027009,Bacteria,Acinetobacter,
ACISPP,Acinetobacter,1085501000112104,Bacteria,Acinetobacter,
ACISPP,Acinetobacter,816084004,Bacteria,Acinetobacter,
ACISPP,Acinetobacter,7757008,Bacteria,Acinetobacter,
ACISPP,Acinetobacter,446157004,Bacteria,Acinetobacter,
ACISPP,Acinetobacter,719032005,Bacteria,Acinetobacter,
AROSPP,Acinetobacter,719027009,Bacteria,Acinetobacter,
AROSPP,Acinetobacter,1085501000112104,Bacteria,Acinetobacter,
AROSPP,Acinetobacter,816084004,Bacteria,Acinetobacter,
AROSPP,Acinetobacter,7757008,Bacteria,Acinetobacter,
AROSPP,Acinetobacter,446157004,Bacteria,Acinetobacter,
AROSPP,Acinetobacter,719032005,Bacteria,Acinetobacter,
ACIBEI,Acinetobacter beijerinckii,771547006,Bacteria,Acinetobacter,beijerinckii
4402,Acinetobacter baumannii,91288006,Bacteria,Acinetobacter,baumannii
4402,Acinetobacter baumannii,715174007,Bacteria,Acinetobacter,baumannii
4402,Acinetobacter baumannii,737526007,Bacteria,Acinetobacter,baumannii
4402,Acinetobacter baumannii,447891000124105,Bacteria,Acinetobacter,baumannii
4402,Acinetobacter baumannii,715353004,Bacteria,Acinetobacter,baumannii
A.BAU,Acinetobacter baumannii,91288006,Bacteria,Acinetobacter,baumannii
A.BAU,Acinetobacter baumannii,715174007,Bacteria,Acinetobacter,baumannii
A.BAU,Acinetobacter baumannii,737526007,Bacteria,Acinetobacter,baumannii
A.BAU,Acinetobacter baumannii,447891000124105,Bacteria,Acinetobacter,baumannii
A.BAU,Acinetobacter baumannii,715353004,Bacteria,Acinetobacter,baumannii
ABA,Acinetobacter baumannii,91288006,Bacteria,Acinetobacter,baumannii
ABA,Acinetobacter baumannii,715174007,Bacteria,Acinetobacter,baumannii
ABA,Acinetobacter baumannii,737526007,Bacteria,Acinetobacter,baumannii
ABA,Acinetobacter baumannii,447891000124105,Bacteria,Acinetobacter,baumannii
ABA,Acinetobacter baumannii,715353004,Bacteria,Acinetobacter,baumannii
ACIBAC,Acinetobacter baumannii,91288006,Bacteria,Acinetobacter,baumannii
ACIBAC,Acinetobacter baumannii,715174007,Bacteria,Acinetobacter,baumannii
ACIBAC,Acinetobacter baumannii,737526007,Bacteria,Acinetobacter,baumannii
ACIBAC,Acinetobacter baumannii,447891000124105,Bacteria,Acinetobacter,baumannii
ACIBAC,Acinetobacter baumannii,715353004,Bacteria,Acinetobacter,baumannii
ACIBAU,Acinetobacter baumannii,91288006,Bacteria,Acinetobacter,baumannii
ACIBAU,Acinetobacter baumannii,715174007,Bacteria,Acinetobacter,baumannii
ACIBAU,Acinetobacter baumannii,737526007,Bacteria,Acinetobacter,baumannii
ACIBAU,Acinetobacter baumannii,447891000124105,Bacteria,Acinetobacter,baumannii
ACIBAU,Acinetobacter baumannii,715353004,Bacteria,Acinetobacter,baumannii
ACIBER,Acinetobacter bereziniae,700398000,Bacteria,Acinetobacter,bereziniae
ACZ,Acinetobacter bereziniae,700398000,Bacteria,Acinetobacter,bereziniae
ABY,Acinetobacter baylyi,423974000,Bacteria,Acinetobacter,baylyi
